DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES048C,2020,82837,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES049C,2020,69205,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES050C,2020,67733,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES051C,2020,63630,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES052C,2020,69166,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES053C,2020,62910,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES054C,2020,62419,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES055C,2020,64645,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES056C,2020,87054,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES057C,2020,74602,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES058C,2020,51600,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES059C,2020,404809,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES060C,2020,234765,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES061C,2020,216108,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES062C,2020,213105,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES063C,2020,188240,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES064C,2020,197562,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES065C,2020,201322,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES066C,2020,176418,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES067C,2020,144825,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES068C,2020,174336,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES069C,2020,174264,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES070C,2020,143837,,
